,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,nom_commune,id_parcelle,nombre_lots,code_type_local,type_local,nombre_pieces_principales,code_nature_culture,surface_terrain,longitude,latitude
4502,88000.0,0.0,VILLEBUGUET,71500.0,Montcony,71311000AD0196,0,0.0,0,0.0,T,136.0,5.307475,46.699354
4501,88000.0,0.0,VILLEBUGUET,71500.0,Montcony,71311000AD0194,0,0.0,0,0.0,S,1347.0,5.307373,46.699184
4500,88000.0,0.0,VILLEBUGUET,71500.0,Montcony,71311000AD0193,0,0.0,0,0.0,S,224.0,5.3070260000000005,46.698617999999996
4499,88000.0,0.0,VILLEBUGUET,71500.0,Montcony,71311000AD0103,0,0.0,0,0.0,S,52.0,5.306779,46.698861
4503,88000.0,40.0,RUE DU CHAMP DE FONTAINE,71500.0,Montcony,71311000AD0198,0,1.0,Maison,4.0,S,3153.0,5.306853,46.698938
5627,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0084,0,0.0,0,0.0,T,7050.0,5.271423,46.790986
5859,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0253,0,0.0,0,0.0,P,413.0,5.321739,46.812638
5858,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0252,0,0.0,0,0.0,P,477.0,5.321896,46.812532
5860,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0254,0,0.0,0,0.0,P,812.0,5.321788,46.812459999999994
5618,2000.0,0.0,ETANG TOULEY,71310.0,Montjay,71314000AK0121,0,0.0,0,0.0,BT,4770.0,5.267728,46.791903999999995
5862,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0256,0,0.0,0,0.0,P,1170.0,5.321589,46.812292
5626,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0081,0,0.0,0,0.0,T,3790.0,5.269726,46.792318
5863,9260.0,0.0,LES PLATIERES,71310.0,Montjay,71314000AD0319,0,0.0,0,0.0,P,6725.0,5.321351,46.812813
5632,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0103,0,0.0,0,0.0,T,18600.0,5.270622,46.788496
5630,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0102,0,0.0,0,0.0,T,4613.0,5.270836,46.789553999999995
5857,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0251,0,0.0,0,0.0,P,2587.0,5.322268,46.812416999999996
5856,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0250,0,0.0,0,0.0,P,4734.0,5.322515,46.812474
5864,9260.0,0.0,LES PLATIERES,71310.0,Montjay,71314000AD0320,0,0.0,0,0.0,T,5976.0,5.320246,46.813111
5855,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0181,0,0.0,0,0.0,P,1968.0,5.320889,46.808636
5629,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0101,0,0.0,0,0.0,T,2345.0,5.2710040000000005,46.789926
5628,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0084,0,0.0,0,0.0,T,7050.0,5.271423,46.790986
5411,60000.0,2540.0,RTE DE LA CHAUX,71310.0,Montjay,71314000AN0129,0,1.0,Maison,1.0,S,825.0,5.280626,46.806336
5412,60000.0,2540.0,RTE DE LA CHAUX,71310.0,Montjay,71314000AN0130,0,1.0,Maison,2.0,S,1430.0,5.280714,46.806505
5853,9260.0,0.0,LES COMBES,71310.0,Montjay,71314000AC0009,0,0.0,0,0.0,P,3165.0,5.325958999999999,46.821696
5854,9260.0,0.0,LES COLLINES,71310.0,Montjay,71314000AC0213,0,0.0,0,0.0,T,15655.0,5.3248489999999995,46.821301
5861,9260.0,0.0,LES MURETAIS,71310.0,Montjay,71314000AD0255,0,0.0,0,0.0,P,726.0,5.321716,46.812367
5631,57549.0,0.0,CHAMP BOUVIER,71310.0,Montjay,71314000AK0102,0,0.0,0,0.0,T,4612.0,5.270836,46.789553999999995
1021,8700.0,0.0,VERCHERES DESSUS,71520.0,Montmelard,71316000AR0061,0,0.0,0,0.0,P,10138.0,4.413594,46.319476
1022,8700.0,0.0,LA CHINTRE,71520.0,Montmelard,71316000AR0065,0,0.0,0,0.0,P,13190.0,4.416018,46.319683000000005
1023,8700.0,0.0,ROUGERET,71520.0,Montmelard,71316000AR0197,0,0.0,0,0.0,P,7278.0,4.412211,46.317668
552,500.0,0.0,VICELAIRE EN BAS,71520.0,Montmelard,71316000AT0181,0,0.0,0,0.0,P,3850.0,4.412229,46.321701000000004
1110,5000.0,0.0,CROZEAU,71520.0,Montmelard,71316000AO0091,0,0.0,0,0.0,BR,5240.0,4.433924,46.332390000000004
1020,8700.0,0.0,VICELAIRE EN BAS,71520.0,Montmelard,71316000AR0055,0,0.0,0,0.0,P,5600.0,4.411446,46.319083
411,42000.0,0.0,LA BRIERE,71520.0,Montmelard,71316000AR0078,0,0.0,0,0.0,BR,10812.0,4.4191139999999995,46.319453
1019,8700.0,0.0,AUX VERNES,71520.0,Montmelard,71316000AR0050,0,0.0,0,0.0,P,1912.0,4.411107,46.31773
1018,5000.0,0.0,EN CHARMONT,71520.0,Montmelard,71316000AS0025,0,0.0,0,0.0,T,21430.0,4.402593,46.318726
1024,8700.0,0.0,VICELAIRE EN BAS,71520.0,Montmelard,71316000AR0199,0,0.0,0,0.0,P,7842.0,4.411251999999999,46.318286
410,42000.0,0.0,LA BRIERE,71520.0,Montmelard,71316000AR0077,0,0.0,0,0.0,BR,7566.0,4.420044,46.319295000000004
409,42000.0,0.0,LA BRIERE,71520.0,Montmelard,71316000AR0074,0,0.0,0,0.0,BT,11168.0,4.420226,46.318343
515,78000.0,0.0,LES CHAMPS,71520.0,Montmelard,71316000AH0109,0,0.0,0,0.0,T,11336.0,4.4435459999999996,46.352988
3,132500.0,5004.0,LA GARENNE,71520.0,Montmelard,71316000AM0152,0,1.0,Maison,4.0,S,921.0,4.410328,46.33313
408,42000.0,0.0,LA BRIERE,71520.0,Montmelard,71316000AR0066,0,0.0,0,0.0,BR,21840.0,4.414748,46.320567
314,172000.0,5232.0,CHAMP BRENICHON,71520.0,Montmelard,71316000AH0188,0,1.0,Maison,5.0,J,1210.0,4.435777,46.348269
313,172000.0,5232.0,CHAMP BRENICHON,71520.0,Montmelard,71316000AH0188,0,1.0,Maison,5.0,S,960.0,4.435777,46.348269
518,78000.0,0.0,LES CHAMPS,71520.0,Montmelard,71316000AH0251,0,0.0,0,0.0,S,41.0,4.442405,46.351719
979,55000.0,0.0,LA THURE,71520.0,Montmelard,71316000AN0115,0,0.0,0,0.0,PA,9470.0,4.41171,46.324321000000005
978,55000.0,5054.0,LA CHURE,71520.0,Montmelard,71316000AN0114,0,1.0,Maison,1.0,S,498.0,4.411988,46.324388
517,78000.0,5137.0,LES CHAMPS,71520.0,Montmelard,71316000AH0248,0,1.0,Maison,3.0,S,752.0,4.442418,46.351857
516,78000.0,0.0,LES CHAMPS,71520.0,Montmelard,71316000AH0228,0,0.0,0,0.0,P,2315.0,4.442855000000001,46.351997999999995
2,132500.0,0.0,LA GARENNE,71520.0,Montmelard,71316000AM0150,0,0.0,0,0.0,P,1671.0,4.410051,46.333346999999996
315,172000.0,5232.0,CHAMP BRENICHON,71520.0,Montmelard,71316000AH0188,0,1.0,Maison,5.0,P,3724.0,4.435777,46.348269
2999,55000.0,0.0,LE BOURG,71320.0,Montmort,71317000AH0080,0,0.0,0,0.0,T,1922.0,4.089930000000001,46.737409
3000,55000.0,5102.0,LE BOURG,71320.0,Montmort,71317000AH0081,0,1.0,Maison,2.0,S,193.0,4.089826,46.737482
3001,55000.0,0.0,LE BOURG,71320.0,Montmort,71317000AH0087,0,0.0,0,0.0,PA,268.0,4.089622,46.737618
4315,150000.0,0.0,LES RIPPES LOISY,71470.0,Montpont-en-Bresse,71318000AN0168,0,0.0,0,0.0,S,157.0,5.1471089999999995,46.555973
5734,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0281,0,0.0,0,0.0,S,849.0,5.172006,46.531252
5703,6335.0,0.0,LES BOIS DU PONTE,71470.0,Montpont-en-Bresse,71318000AH0166,0,0.0,0,0.0,T,870.0,5.159582,46.533128000000005
5733,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0278,0,0.0,0,0.0,P,1888.0,5.1725330000000005,46.531653000000006
5732,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0276,0,0.0,0,0.0,T,2095.0,5.172907,46.531502
5704,6335.0,0.0,LES BOIS DU PONTE,71470.0,Montpont-en-Bresse,71318000AH0166,0,0.0,0,0.0,T,870.0,5.159582,46.533128000000005
5718,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0125,0,0.0,0,0.0,VI,700.0,5.171705,46.531744
5697,4300.0,0.0,LE BANC DE MONTPONT,71470.0,Montpont-en-Bresse,713180000M0280,0,0.0,0,0.0,P,6560.0,5.182511,46.545241
4314,150000.0,0.0,LES RIPPES LOISY,71470.0,Montpont-en-Bresse,71318000AN0165,0,0.0,0,0.0,T,33.0,5.1469510000000005,46.555845
5696,4300.0,0.0,LE BANC DE MONTPONT,71470.0,Montpont-en-Bresse,713180000M0279,0,0.0,0,0.0,BS,460.0,5.1824699999999995,46.544807
5695,4300.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0150,0,0.0,0,0.0,T,4250.0,5.153055999999999,46.548114
4746,100000.0,285.0,RTE DE LOUHANS,71470.0,Montpont-en-Bresse,71318000AB0257,0,1.0,Maison,4.0,S,982.0,5.165388,46.559629
5719,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0126,0,0.0,0,0.0,T,5740.0,5.172206,46.532078000000006
5729,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0158,0,0.0,0,0.0,P,2125.0,5.171999,46.536027000000004
5692,4300.0,0.0,LES CUISSISES,71470.0,Montpont-en-Bresse,71318000AC0061,0,0.0,0,0.0,P,5990.0,5.154015,46.547162
5730,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0159,0,0.0,0,0.0,P,368.0,5.172004,46.536364
4317,150000.0,410.0,IMP DES RIPPES LOISY,71470.0,Montpont-en-Bresse,71318000AN0201,0,1.0,Maison,5.0,S,2332.0,5.1472690000000005,46.55577
4316,150000.0,0.0,LES RIPPES LOISY,71470.0,Montpont-en-Bresse,71318000AN0169,0,0.0,0,0.0,S,164.0,5.147286,46.555991
5731,22000.0,0.0,LES ROUTES,71470.0,Montpont-en-Bresse,71318000AE0184,0,0.0,0,0.0,T,4290.0,5.166686,46.533007
4318,150000.0,0.0,LES RIPPES LOISY,71470.0,Montpont-en-Bresse,71318000AN0203,0,0.0,0,0.0,P,205.0,5.147463,46.555741999999995
5824,80000.0,0.0,ARDIGNAT,71470.0,Montpont-en-Bresse,713180000A0068,0,0.0,0,0.0,P,6720.0,5.15782,46.555791
5701,6335.0,0.0,LES BOIS DU PONTE,71470.0,Montpont-en-Bresse,71318000AH0002,0,0.0,0,0.0,T,9590.0,5.159458,46.531256
5827,80000.0,620.0,RTE DE LA CHAPELLE THECLE,71470.0,Montpont-en-Bresse,713180000A0802,0,1.0,Maison,1.0,S,1646.0,5.156658,46.556135
5055,122000.0,0.0,LA COLLONGE,71470.0,Montpont-en-Bresse,713180000B0373,0,0.0,0,0.0,J,355.0,5.171287,46.552888
5056,122000.0,0.0,LA COLLONGE,71470.0,Montpont-en-Bresse,713180000B0909,0,0.0,0,0.0,S,58.0,5.171115,46.552763
5248,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0065,0,0.0,0,0.0,T,782.0,5.156332,46.550024
5249,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0066,0,0.0,0,0.0,T,6900.0,5.155848000000001,46.550234
5057,122000.0,175.0,RTE DE LA PETITE COLLONGE,71470.0,Montpont-en-Bresse,713180000B0968,0,1.0,Maison,6.0,S,2787.0,5.171368,46.552721000000005
5250,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0068,0,0.0,0,0.0,T,1375.0,5.154982,46.551154
5251,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0070,0,0.0,0,0.0,T,400.0,5.154194,46.549738
5720,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0128,0,0.0,0,0.0,BS,406.0,5.172723,46.532921
5702,6335.0,0.0,CHAMP DU BOULEAU,71470.0,Montpont-en-Bresse,71318000AH0153,0,0.0,0,0.0,T,12440.0,5.158004,46.527178
5252,10000.0,0.0,LES BRUYERES,71470.0,Montpont-en-Bresse,71318000AC0081,0,0.0,0,0.0,T,17300.0,5.152717,46.550154
5735,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0282,0,0.0,0,0.0,T,13350.0,5.1714839999999995,46.530809999999995
5699,6335.0,0.0,LES CHIRDETS,71470.0,Montpont-en-Bresse,71318000AD0280,0,0.0,0,0.0,P,3120.0,5.157771,46.531735999999995
5254,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0153,0,0.0,0,0.0,T,22969.0,5.154343,46.550515999999995
5700,6335.0,0.0,LES CHIRDETS,71470.0,Montpont-en-Bresse,71318000AD0283,0,0.0,0,0.0,T,11323.0,5.156833,46.531782
5715,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0115,0,0.0,0,0.0,T,410.0,5.173515,46.531267
5728,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0144,0,0.0,0,0.0,P,6880.0,5.16964,46.533947999999995
5727,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0143,0,0.0,0,0.0,P,5240.0,5.1689110000000005,46.534059
5716,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0117,0,0.0,0,0.0,T,890.0,5.173344,46.531555
5724,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0135,0,0.0,0,0.0,P,4407.0,5.170957,46.533587
5717,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0124,0,0.0,0,0.0,J,425.0,5.171743,46.531424
5826,80000.0,620.0,RTE DE LA CHAPELLE THECLE,71470.0,Montpont-en-Bresse,713180000A0802,0,1.0,Maison,3.0,S,1646.0,5.156658,46.556135
5725,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0136,0,0.0,0,0.0,P,2838.0,5.1703470000000005,46.534034999999996
5825,80000.0,0.0,ARDIGNAT,71470.0,Montpont-en-Bresse,713180000A0800,0,0.0,0,0.0,S,24.0,5.156582,46.556358
5726,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0137,0,0.0,0,0.0,P,3328.0,5.170083999999999,46.533663
5698,6335.0,0.0,LES CHIRDETS,71470.0,Montpont-en-Bresse,71318000AD0278,0,0.0,0,0.0,P,10518.0,5.158441000000001,46.531803000000004
5255,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0266,0,0.0,0,0.0,T,8804.0,0.0,0.0
5253,10000.0,0.0,LES COUPEES,71470.0,Montpont-en-Bresse,71318000AC0152,0,0.0,0,0.0,T,7836.0,5.154878,46.549609000000004
5694,4300.0,0.0,LES CUISSISES,71470.0,Montpont-en-Bresse,71318000AC0149,0,0.0,0,0.0,P,4193.0,5.154782,46.547665
5742,22000.0,0.0,LE BANC DE MONTPONT,71470.0,Montpont-en-Bresse,713180000M0278,0,0.0,0,0.0,P,1800.0,5.183141,46.544934999999995
5301,8520.75,0.0,LA FROMENTIERE,71470.0,Montpont-en-Bresse,713180000M0380,0,0.0,0,0.0,P,20678.0,5.1831309999999995,46.545745000000004
4505,104000.0,1010.0,RTE DE LA MARRE,71470.0,Montpont-en-Bresse,713180000G0139,0,1.0,Maison,2.0,S,2050.0,5.191216000000001,46.516853000000005
4574,55500.0,805.0,RTE DE VARENNES,71470.0,Montpont-en-Bresse,713180000M0469,0,2.0,Appartement,2.0,S,500.0,5.171218,46.5496
4969,9843.5,0.0,LE GRAND PRE,71470.0,Montpont-en-Bresse,713180000M0261,0,0.0,0,0.0,P,1450.0,5.168086,46.543648
4968,9843.5,0.0,RIPPE DU DEVANT,71470.0,Montpont-en-Bresse,713180000M0014,0,0.0,0,0.0,T,21560.0,5.163776,46.541667
4498,350000.0,0.0,LE CHAMP DU LOUP,71470.0,Montpont-en-Bresse,713180000M0169,0,0.0,0,0.0,P,2010.0,5.172431,46.545809000000006
4497,350000.0,1250.0,RTE DE VARENNES,71470.0,Montpont-en-Bresse,713180000M0167,0,1.0,Maison,6.0,S,1470.0,5.171717,46.545719
4967,9843.5,0.0,RIPPE DU DEVANT,71470.0,Montpont-en-Bresse,713180000M0013,0,0.0,0,0.0,P,6388.0,5.1639,46.540918
5300,8520.75,0.0,LA FROMENTIERE,71470.0,Montpont-en-Bresse,713180000M0379,0,0.0,0,0.0,P,12530.0,5.181236,46.545815999999995
4966,9843.5,0.0,RIPPE DU DEVANT,71470.0,Montpont-en-Bresse,713180000M0012,0,0.0,0,0.0,T,2038.0,5.163132,46.540677
4964,9843.5,0.0,LES BOIS DU PONTE,71470.0,Montpont-en-Bresse,71318000AH0021,0,0.0,0,0.0,BS,3570.0,5.163943,46.527753999999995
4963,9843.5,0.0,AUX DEVANTS,71470.0,Montpont-en-Bresse,71318000AE0214,0,0.0,0,0.0,P,3274.0,5.165634,46.537867
5739,22000.0,0.0,LES CHAMPS DES FIOTS,71470.0,Montpont-en-Bresse,713180000D0038,0,0.0,0,0.0,T,5525.0,5.190597,46.552864
4573,55500.0,805.0,RTE DE VARENNES,71470.0,Montpont-en-Bresse,713180000M0469,0,2.0,Appartement,2.0,AG,901.0,5.171218,46.5496
4860,50.0,0.0,LA PLAINE,71470.0,Montpont-en-Bresse,713180000A0579,0,0.0,0,0.0,P,1120.0,5.153829,46.561163
4859,50.0,0.0,LA PLAINE,71470.0,Montpont-en-Bresse,713180000A0578,0,0.0,0,0.0,P,675.0,5.153796,46.560858
5736,22000.0,0.0,LES BOIS DU PONTE,71470.0,Montpont-en-Bresse,71318000AH0048,0,0.0,0,0.0,BS,606.0,5.167394,46.527822
5737,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AH0050,0,0.0,0,0.0,L,2000.0,5.168569000000001,46.528116
4965,9843.5,0.0,LA RIPPE BLANCHE,71470.0,Montpont-en-Bresse,71318000AI0200,0,0.0,0,0.0,T,2800.0,5.144546,46.532946
4962,9843.5,0.0,AUX DEVANTS,71470.0,Montpont-en-Bresse,71318000AE0213,0,0.0,0,0.0,BT,1125.0,5.1661410000000005,46.537566
5723,22000.0,0.0,LE PONTE,71470.0,Montpont-en-Bresse,71318000AE0132,0,0.0,0,0.0,T,3352.0,5.171392,46.532712
5499,19000.0,0.0,LE BOURG,71470.0,Montpont-en-Bresse,71318000AB0424,0,0.0,0,0.0,VE,1656.0,5.162975,46.556932
5024,37000.0,0.0,LA COLLONGE,71470.0,Montpont-en-Bresse,713180000B0353,0,0.0,0,0.0,T,2155.0,5.170121,46.55108
5741,22000.0,0.0,LE BANC DE MONTPONT,71470.0,Montpont-en-Bresse,713180000M0277,0,0.0,0,0.0,BS,480.0,5.182693,46.544672
4970,9843.5,0.0,LE GRAND PRE,71470.0,Montpont-en-Bresse,713180000M0263,0,0.0,0,0.0,P,22790.0,5.16781,46.544043
5740,22000.0,0.0,LES CHAMPS DES FIOTS,71470.0,Montpont-en-Bresse,713180000D0058,0,0.0,0,0.0,T,6593.0,5.18919,46.553943
